                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7872,                 1.1147,                0.91509,                0.90295,                 0.8206,                0.86649,                 0.4075,                 1.7618,                0.90828,                0.94177,               0.006634,               0.006634,               0.006634
                     36,                 1.7735,                 1.1127,                0.92638,                0.90676,                0.81459,                0.87679,                0.43857,                 1.6554,                0.87496,                0.93256,               0.006535,               0.006535,               0.006535
                     37,                 1.7892,                 1.1068,                0.92256,                0.93521,                0.83118,                0.90282,                0.43301,                 1.7301,                0.89194,                0.94173,               0.006436,               0.006436,               0.006436
                     38,                 1.7424,                 1.0499,                0.92035,                0.93099,                0.81589,                0.88034,                0.42889,                  1.712,                0.90079,                0.92962,               0.006337,               0.006337,               0.006337
                     39,                 1.7612,                 1.0808,                0.92243,                0.86186,                0.83296,                0.87988,                0.44581,                   1.67,                0.85084,                0.93169,               0.006238,               0.006238,               0.006238
                     40,                 1.7496,                 1.0532,                0.91811,                0.93116,                0.85192,                0.88958,                0.41423,                 1.7271,                0.84443,                0.94248,               0.006139,               0.006139,               0.006139
                     41,                 1.7466,                 1.0421,                0.91379,                0.90377,                0.85697,                0.91036,                0.42733,                 1.7311,                0.88202,                0.94166,                0.00604,                0.00604,                0.00604
                     42,                 1.7581,                 1.0403,                0.91302,                0.92854,                0.77151,                0.88148,                0.43268,                 1.6953,                0.90604,                0.94703,               0.005941,               0.005941,               0.005941
                     43,                 1.7306,                  1.043,                0.91378,                0.88117,                0.77985,                0.87297,                0.43477,                 1.6702,                0.89086,                0.93848,               0.005842,               0.005842,               0.005842
                     44,                 1.7172,                 1.0044,                0.90841,                0.92614,                0.79739,                0.90053,                0.46023,                 1.6299,                  0.918,                0.92989,               0.005743,               0.005743,               0.005743
                     45,                 1.7095,                 1.0151,                0.91145,                0.89859,                0.85961,                0.91442,                0.45779,                 1.6651,                0.83071,                0.93327,               0.005644,               0.005644,               0.005644
                     46,                  1.709,                 1.0258,                0.91038,                0.92675,                0.87465,                0.91171,                0.46556,                 1.6195,                0.81361,                0.92465,               0.005545,               0.005545,               0.005545
                     47,                 1.6917,                0.98459,                0.90995,                0.95833,                0.84951,                0.92381,                0.46094,                   1.66,                0.81388,                 0.9283,               0.005446,               0.005446,               0.005446
                     48,                 1.6456,                0.95198,                0.90916,                0.94957,                0.85255,                0.92121,                0.45524,                 1.6802,                0.82116,                 0.9285,               0.005347,               0.005347,               0.005347
                     49,                 1.6454,                0.97025,                0.91026,                0.97529,                0.82187,                 0.9122,                0.48275,                 1.6035,                0.77724,                 0.9167,               0.005248,               0.005248,               0.005248
                     50,                 1.6944,                 1.0073,                0.90555,                0.94932,                0.85248,                0.91877,                  0.472,                  1.635,                0.81207,                0.92823,               0.005149,               0.005149,               0.005149
                     51,                 1.6665,                0.97357,                0.90036,                0.93264,                0.81994,                0.88846,                0.43902,                 1.6948,                0.84254,                0.93342,                0.00505,                0.00505,                0.00505
                     52,                 1.6605,                0.95397,                0.90398,                 0.9403,                0.87643,                0.93156,                0.47503,                 1.6331,                0.78757,                0.91829,               0.004951,               0.004951,               0.004951
                     53,                  1.661,                0.94418,                0.90548,                0.94726,                0.88557,                0.92181,                0.46159,                 1.6374,                0.76694,                 0.9235,               0.004852,               0.004852,               0.004852
                     54,                 1.6324,                0.91878,                0.90196,                0.94057,                0.86139,                0.90876,                0.44995,                 1.6742,                0.80206,                0.92658,               0.004753,               0.004753,               0.004753
                     55,                 1.6727,                0.96348,                0.90097,                 0.8829,                0.85665,                0.91017,                0.40566,                 1.7746,                 0.8954,                0.93524,               0.004654,               0.004654,               0.004654
                     56,                 1.6162,                0.92405,                 0.8982,                0.94475,                0.87188,                0.92598,                0.45782,                 1.6547,                0.78145,                0.92698,               0.004555,               0.004555,               0.004555
                     57,                 1.6641,                0.95344,                0.89934,                0.95595,                0.83318,                0.90511,                0.45915,                 1.6327,                0.78473,                0.91872,               0.004456,               0.004456,               0.004456
                     58,                 1.6195,                 0.9105,                0.89233,                0.95739,                0.84466,                0.91183,                0.46553,                 1.6336,                0.82898,                0.91879,               0.004357,               0.004357,               0.004357
                     59,                 1.6328,                0.91981,                0.89242,                 0.9375,                0.87445,                0.92443,                0.47183,                  1.604,                 0.7804,                0.91935,               0.004258,               0.004258,               0.004258
                     60,                 1.5733,                 0.8917,                0.88904,                0.93178,                0.88825,                0.93399,                0.49119,                  1.605,                0.74287,                0.91689,               0.004159,               0.004159,               0.004159
                     61,                 1.5783,                0.86684,                 0.8963,                0.95051,                0.84547,                0.92143,                0.46282,                 1.6202,                0.76502,                 0.9218,                0.00406,                0.00406,                0.00406
                     62,                 1.6049,                0.89672,                0.89032,                0.93988,                0.85056,                0.92154,                0.45145,                 1.6344,                0.77791,                0.92702,               0.003961,               0.003961,               0.003961
                     63,                 1.5877,                0.88893,                0.88853,                0.92506,                0.87738,                0.92662,                0.48316,                 1.5827,                0.76971,                0.91598,               0.003862,               0.003862,               0.003862
                     64,                 1.6021,                0.88159,                0.89081,                0.94509,                0.86432,                0.92371,                0.47564,                 1.6061,                0.75999,                0.91957,               0.003763,               0.003763,               0.003763
                     65,                 1.5573,                0.86104,                0.89044,                0.92478,                0.88471,                0.93131,                0.46959,                 1.6283,                0.75885,                 0.9197,               0.003664,               0.003664,               0.003664
                     66,                 1.5432,                0.84623,                0.87375,                0.94266,                0.85226,                0.93292,                0.50238,                 1.5592,                 0.7454,                0.91197,               0.003565,               0.003565,               0.003565
                     67,                 1.5767,                0.86842,                0.87822,                0.94803,                0.91889,                0.96094,                0.49233,                 1.6168,                0.71573,                0.91938,               0.003466,               0.003466,               0.003466
                     68,                 1.5731,                0.85933,                0.89171,                0.95261,                0.91583,                0.95035,                0.48507,                 1.6298,                0.72739,                 0.9163,               0.003367,               0.003367,               0.003367
                     69,                 1.5494,                 0.8526,                0.88866,                0.93695,                0.87528,                0.93859,                0.49495,                 1.6036,                0.73351,                0.91781,               0.003268,               0.003268,               0.003268
                     70,                  1.526,                0.83315,                0.87458,                0.95491,                0.88321,                 0.9346,                0.48375,                 1.6073,                0.75363,                0.91936,               0.003169,               0.003169,               0.003169
                     71,                 1.5426,                 0.8602,                0.88701,                 0.9473,                0.87963,                0.93126,                0.49697,                 1.5829,                  0.731,                0.91002,                0.00307,                0.00307,                0.00307
                     72,                 1.5289,                0.83537,                0.88031,                0.95564,                0.89945,                0.93971,                0.50928,                 1.5574,                0.69655,                0.91085,               0.002971,               0.002971,               0.002971
                     73,                 1.5376,                0.83206,                0.87691,                0.92889,                0.91365,                0.94108,                0.50003,                 1.5439,                0.69039,                0.91125,               0.002872,               0.002872,               0.002872
                     74,                 1.5217,                0.81146,                0.87495,                0.95208,                0.90369,                 0.9472,                0.49714,                 1.5924,                0.69804,                0.91906,               0.002773,               0.002773,               0.002773
